Gender,Age,City,Profession,Sleep Duration,Dietary Habits,Degree
Male,33,Visakhapatnam,Student,'5-6 hours',Healthy,B.Pharm
Female,24,Bangalore,Student,'5-6 hours',Moderate,BSc
Male,31,Srinagar,Student,'Less than 5 hours',Healthy,BA
Female,28,Varanasi,Student,'7-8 hours',Moderate,BCA
Female,25,Jaipur,Student,'5-6 hours',Moderate,M.Tech
Male,29,Pune,Student,'Less than 5 hours',Healthy,PhD
Male,30,Thane,Student,'7-8 hours',Healthy,BSc
Female,30,Chennai,Student,'Less than 5 hours',Unhealthy,'Class 12'
Male,28,Nagpur,Student,'7-8 hours',Moderate,B.Ed
Male,31,`,Student,'Less than 5 hours',Moderate,LLB
Male,24,Nagpur,Student,'5-6 hours',Moderate,'Class 12'
Male,33,Vadodara,Student,'Less than 5 hours',Healthy,BE
Male,27,Kalyan,Student,'Less than 5 hours',Moderate,M.Tech
Female,19,Rajkot,Student,'Less than 5 hours',Unhealthy,'Class 12'
Female,19,Kalyan,Student,'Less than 5 hours',Moderate,'Class 12'
Male,29,Srinagar,Student,'More than 8 hours',Moderate,M.Tech
Male,25,Nashik,Student,'Less than 5 hours',Unhealthy,M.Ed
Female,20,Ahmedabad,Student,'5-6 hours',Healthy,'Class 12'
Male,19,Chennai,Student,'7-8 hours',Unhealthy,'Class 12'
Male,25,Kalyan,Student,'5-6 hours',Moderate,B.Ed
Male,29,Kolkata,Student,'5-6 hours',Moderate,B.Ed
Male,29,Kolkata,Student,'7-8 hours',Moderate,M.Tech
Female,25,Ahmedabad,Student,'More than 8 hours',Unhealthy,MSc
Male,23,Thane,Student,'7-8 hours',Healthy,BHM
Male,18,Bangalore,Student,'More than 8 hours',Unhealthy,'Class 12'
Female,20,Mumbai,Student,'7-8 hours',Moderate,'Class 12'
Male,31,Ahmedabad,Student,'7-8 hours',Moderate,LLB
Male,25,Lucknow,Student,'More than 8 hours',Unhealthy,M.Ed
Male,33,Indore,Student,'Less than 5 hours',Moderate,M.Pharm
Male,28,Kalyan,Student,'7-8 hours',Unhealthy,M.Pharm
Male,18,Surat,Student,'Less than 5 hours',Moderate,'Class 12'
Male,18,Visakhapatnam,Student,'5-6 hours',Unhealthy,'Class 12'
Male,21,Jaipur,Student,'Less than 5 hours',Healthy,MCA
Female,31,Kalyan,Student,'7-8 hours',Healthy,PhD
Male,21,Surat,Student,'More than 8 hours',Healthy,MA
Female,25,Ludhiana,Student,'7-8 hours',Moderate,B.Pharm
Female,21,Bhopal,Student,'5-6 hours',Moderate,B.Com
Male,28,Srinagar,Student,'7-8 hours',Unhealthy,BCA
Male,28,Thane,Student,'7-8 hours',Unhealthy,MD
Male,25,Meerut,Student,'7-8 hours',Unhealthy,B.Pharm
Female,20,Thane,Student,'7-8 hours',Moderate,'Class 12'
Male,23,Agra,Student,'5-6 hours',Unhealthy,MSc
Male,19,Agra,Student,'5-6 hours',Healthy,'Class 12'
Female,33,Ghaziabad,Student,'Less than 5 hours',Unhealthy,MBA
Female,23,Chennai,Student,'More than 8 hours',Unhealthy,BE
Male,22,Lucknow,Student,'7-8 hours',Unhealthy,B.Ed
Female,19,Meerut,Student,'Less than 5 hours',Healthy,'Class 12'
Female,30,Hyderabad,Student,'Less than 5 hours',Healthy,BSc
Male,21,Kalyan,Student,'Less than 5 hours',Unhealthy,MSc
Female,19,Rajkot,Student,'More than 8 hours',Healthy,'Class 12'
Male,23,Kalyan,Student,'Less than 5 hours',Moderate,B.Com
Female,23,Vasai-Virar,Student,'7-8 hours',Healthy,BHM
Female,18,Vadodara,Student,'5-6 hours',Unhealthy,'Class 12'
Male,28,Srinagar,Student,'7-8 hours',Unhealthy,M.Pharm
Male,24,Hyderabad,Student,'5-6 hours',Unhealthy,M.Tech
Female,33,Srinagar,Student,'More than 8 hours',Healthy,B.Com
Female,20,Kalyan,Student,'5-6 hours',Moderate,'Class 12'
Male,23,Kalyan,Student,'7-8 hours',Moderate,BSc
Male,23,Pune,Student,'5-6 hours',Healthy,BA
Female,24,Ludhiana,Student,'Less than 5 hours',Healthy,MBBS
Male,25,Jaipur,Student,'5-6 hours',Unhealthy,BSc
Female,24,Bhopal,Student,'5-6 hours',Moderate,MBBS
Female,24,Kolkata,Student,'7-8 hours',Moderate,BSc
Male,31,Nashik,Student,'More than 8 hours',Unhealthy,MCA
Male,20,Thane,Student,'Less than 5 hours',Unhealthy,'Class 12'
Male,21,Ludhiana,Student,'Less than 5 hours',Healthy,MA
Male,25,Kanpur,Student,'7-8 hours',Moderate,BA
Male,19,Mumbai,Student,'7-8 hours',Healthy,'Class 12'
Female,34,Surat,Student,'More than 8 hours',Healthy,MSc
Male,24,Agra,Student,'5-6 hours',Healthy,M.Tech
Male,33,Hyderabad,Student,'Less than 5 hours',Moderate,B.Ed
Male,32,Patna,Student,'7-8 hours',Moderate,MBBS
Male,18,Bhopal,Student,'7-8 hours',Moderate,'Class 12'
Female,31,Indore,Student,'Less than 5 hours',Unhealthy,M.Com
Female,25,Kalyan,Student,'7-8 hours',Healthy,BHM
Male,20,Surat,Student,'5-6 hours',Unhealthy,'Class 12'
Male,31,Ghaziabad,Student,'7-8 hours',Unhealthy,MSc
Male,24,Surat,Student,'7-8 hours',Unhealthy,MD
Male,24,Lucknow,Student,'Less than 5 hours',Unhealthy,B.Pharm
Female,23,Rajkot,Student,'5-6 hours',Healthy,MSc
Female,25,Varanasi,Student,'More than 8 hours',Moderate,BSc
Male,25,Srinagar,Student,'More than 8 hours',Unhealthy,BSc
Female,25,Ghaziabad,Student,'More than 8 hours',Moderate,B.Arch
Female,28,Kalyan,Student,'5-6 hours',Unhealthy,BE
Female,20,Ahmedabad,Student,'More than 8 hours',Unhealthy,'Class 12'
Female,24,Faridabad,Student,'Less than 5 hours',Moderate,LLM
Male,23,Ludhiana,Student,'5-6 hours',Moderate,B.Tech
Male,19,Pune,Student,'More than 8 hours',Moderate,'Class 12'
Female,24,Hyderabad,Student,'Less than 5 hours',Healthy,MCA
Female,34,Surat,Student,'More than 8 hours',Unhealthy,BSc
Female,25,Ghaziabad,Student,'5-6 hours',Healthy,B.Arch
